

# -Track  1 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
22.0000 33.3604 7.5270 2.3506 2.5121 0.1756 0.3664 13.5928 3.0861 
23.0000 33.4081 7.9908 4.3355 3.4224 -0.0543 0.5542 51.6694 -9.2111 
24.0000 33.4230 7.8517 2.6420 2.5864 0.1952 0.3136 13.4656 2.6067 


# -Track  5 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 235.9479 17.1874 2.0587 2.0073 0.2582 0.2860 7.4251 2.1074 
2.0000 235.6892 16.5818 2.4295 2.0589 0.2279 0.2981 9.3681 2.3077 
3.0000 235.3422 16.1378 2.2284 2.4587 0.1863 0.2913 10.0293 2.5634 
4.0000 235.6937 16.0492 1.6057 1.4115 0.2991 0.1379 1.9642 1.4611 
5.0000 235.5939 16.4837 2.1062 2.2004 0.2358 0.1983 5.7729 1.8408 
6.0000 235.5458 16.9052 2.3472 2.3695 0.2107 0.2180 7.6171 2.0347 
7.0000 235.7507 17.1991 1.7054 2.0224 0.2298 0.2439 5.2862 2.0614 
8.0000 235.8504 16.9207 3.6748 3.7796 0.0183 0.4343 37.9050 24.7435 
9.0000 235.6724 17.0594 1.3936 1.6813 0.2835 0.1761 2.5930 1.6213 
10.0000 236.1458 16.9243 2.4148 2.4506 0.2097 0.2279 8.4732 2.0869 
11.0000 235.8931 16.6914 3.1726 3.1179 0.1452 0.2643 16.4288 2.8205 
12.0000 235.5526 17.0528 2.6288 2.4083 0.1738 0.3071 12.2159 2.7665 
13.0000 235.4940 16.8759 1.8811 1.6226 0.2566 0.2268 4.3497 1.8838 
14.0000 235.3875 16.9190 2.1603 1.7422 0.2679 0.1858 4.3934 1.6935 
15.0000 238.5014 14.9494 2.3649 2.2618 0.2244 0.4244 14.2646 2.8911 
16.0000 238.4539 15.0165 2.4584 2.2226 0.2256 0.4673 16.0417 3.0715 
17.0000 238.5717 14.9171 2.0888 1.8658 0.2789 0.3562 8.7234 2.2775 
18.0000 238.4696 14.4331 2.3217 2.3907 0.2192 0.3846 13.4127 2.7549 
19.0000 238.3119 15.0648 2.0121 2.0163 0.2763 0.4318 11.0069 2.5629 
20.0000 238.3739 15.0975 2.0240 2.2266 0.2582 0.3991 11.3012 2.5458 
21.0000 238.2789 14.9603 1.8212 1.9083 0.2961 0.4559 9.9553 2.5397 
22.0000 238.4344 14.4802 1.8858 2.0548 0.2506 0.4945 12.0393 2.9729 
23.0000 238.3019 15.1344 2.5020 2.2009 0.2461 0.3614 12.5040 2.4682 
24.0000 238.5030 15.1268 2.0078 1.8476 0.2791 0.4286 9.9894 2.5353 


# -Track  6 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 53.5987 28.5682 2.4707 1.4153 0.2558 0.1646 3.6157 1.6434 
2.0000 53.4990 27.4439 1.8948 2.1503 0.2641 0.2165 5.5431 1.8200 
3.0000 53.7593 27.6371 1.9505 2.1200 0.2202 0.2242 5.8250 2.0180 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 


# -Track  7 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 107.1960 35.1076 3.1943 3.1449 0.1167 0.5403 34.1053 5.6296 
2.0000 106.5675 34.8004 2.3805 2.4942 0.2022 0.5211 19.4413 3.5774 
3.0000 109.3474 34.4257 1.9785 1.9354 0.2484 0.2632 6.3316 2.0596 
4.0000 108.7351 34.0623 2.2184 2.4862 0.2389 0.2205 7.6418 1.9228 
5.0000 109.1632 34.2394 2.1401 2.1868 0.2592 0.2332 6.8585 1.8997 
6.0000 108.9166 33.7186 3.0970 2.8569 0.1832 0.2857 15.8824 2.5593 
7.0000 108.8934 34.4169 2.1579 2.0306 0.2687 0.2372 6.5317 1.8831 
8.0000 108.7362 34.2709 2.7325 1.8875 0.2482 0.2074 6.7203 1.8357 
9.0000 109.1785 34.1508 2.8712 3.2685 0.1560 0.3284 19.3647 3.1047 
10.0000 108.9061 33.5815 3.5997 3.4404 0.0383 0.4833 37.6096 13.6274 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 


# -Track  8 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 248.5656 35.8078 2.7859 3.1267 0.1091 0.3290 18.0084 4.0161 
2.0000 248.3921 36.3522 3.8698 3.4835 0.0619 0.3436 29.0991 6.5496 
3.0000 248.4642 35.7619 1.9609 1.7344 0.2607 0.1942 4.1493 1.7447 
4.0000 248.8206 35.2914 2.2762 2.3533 0.1950 0.2386 8.0291 2.2233 
5.0000 248.5928 35.7732 2.7007 2.5551 0.1863 0.2724 11.8089 2.4621 
6.0000 248.9484 35.4781 2.0429 1.9691 0.2252 0.2352 5.9440 2.0443 
7.0000 248.7366 36.1354 1.8199 1.9813 0.2533 0.2317 5.2498 1.9147 
8.0000 248.6125 36.0211 3.5424 3.8898 0.1144 0.2853 24.6962 3.4943 
9.0000 248.6647 35.9833 2.1836 1.4931 0.2260 0.1893 3.8772 1.8374 
10.0000 248.4461 35.8014 1.4820 1.6189 0.2535 0.2458 3.7062 1.9699 
11.0000 248.5934 35.6746 2.1746 2.1050 0.2080 0.2553 7.3440 2.2274 
12.0000 248.9225 36.1450 2.7271 2.5088 0.1910 0.2485 10.6812 2.3011 
13.0000 247.8738 36.2730 2.2013 2.1613 0.2286 0.1996 5.9665 1.8731 
14.0000 248.1692 36.2394 2.5781 1.7324 0.2284 0.2306 6.4725 2.0096 
15.0000 249.3531 36.3650 1.4881 2.3683 0.2864 0.1743 3.8594 1.6085 
16.0000 248.5331 35.4740 2.4157 1.6089 0.2685 0.2357 5.7555 1.8778 
17.0000 247.7364 36.3881 2.9378 2.4591 0.1715 0.3355 15.2267 2.9561 
18.0000 248.5515 36.4180 1.6286 1.2464 0.3027 0.2152 2.7452 1.7112 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 


# -Track  9 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 136.0075 39.1127 2.9080 3.4135 0.1020 0.3718 23.1873 4.6449 
2.0000 136.4307 39.5552 2.4929 2.6265 0.2115 0.2914 11.9889 2.3776 
3.0000 138.9410 39.7885 2.0765 2.0874 0.2587 0.3530 9.6144 2.3647 
4.0000 138.9538 39.5320 1.6602 1.7830 0.3011 0.3174 5.9040 2.0542 
5.0000 138.8867 39.9498 2.5103 2.4377 0.1488 0.4171 16.0373 3.8039 
6.0000 138.9228 39.9995 2.6646 2.0396 0.2282 0.3511 11.9878 2.5381 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 


# -Track 10 -------------------------------------
# frame    x      y    width_x   width_y  height  amplitude     sn     volume 
# 0.0000 nan nan nan nan nan nan nan nan 
1.0000 54.6609 44.2192 2.1183 2.3305 0.2804 0.3085 9.5687 2.1000 
2.0000 56.5021 50.3156 3.5046 3.7757 0.0596 0.4883 40.5986 9.1948 
3.0000 57.2653 50.6059 2.4154 2.5784 0.2249 0.3387 13.2549 2.5063 
4.0000 56.9398 49.8731 2.9859 3.8346 0.1807 0.4036 29.0383 3.2341 
5.0000 54.9316 43.8694 2.4703 2.5268 0.2283 0.2982 11.6937 2.3060 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
# 0.0000 nan nan nan nan nan nan nan nan 
